"USD.Open";"USD.High";"USD.Low";"USD.Close";"USD.Volume";"USD.Adjusted";"simpleMA";"upperBand";"lowerBand"
"1";70.769997;70.769997;70.769997;70.769997;500;63.692346;NA;NA;NA
"2";72.040001;72.040001;72.040001;72.040001;2500;64.835338;NA;NA;NA
"3";73.5;73.5;72.589996;73.029999;2900;65.726327;NA;NA;NA
"4";71.900002;72.349998;71;72.330002;2600;65.096336;NA;NA;NA
"5";73.410004;74.650002;72.800003;74.650002;3600;67.184314;NA;NA;NA
"6";72.690002;72.690002;72.690002;72.690002;1000;65.420333;NA;NA;NA
"7";75.18;75.18;71.440002;71.440002;9300;64.295345;NA;NA;NA
"8";70.699997;70.699997;70.699997;70.699997;100;63.629347;NA;NA;NA
"9";70.480003;70.480003;70.099998;70.419998;1700;63.37735;NA;NA;NA
"10";71.699997;73.589996;71.550003;73.220001;3500;65.897327;NA;NA;NA
"11";73.82;74.059998;73.82;74.059998;600;66.653316;NA;NA;NA
"12";73.739998;73.82;73.620003;73.620003;12700;66.257325;NA;NA;NA
"13";71.809998;73.959999;71.809998;73.629997;5500;66.26632;NA;NA;NA
"14";72.360001;72.639999;72.360001;72.639999;1100;65.375331;NA;NA;NA
"15";75.68;76.330002;75.07;75.989998;14300;68.390299;NA;NA;NA
"16";76.599998;77.019997;76.400002;76.620003;6200;68.957297;NA;NA;NA
"17";76.419998;76.419998;75.669998;76.230003;2400;68.606301;NA;NA;NA
"18";73.769997;74.559998;70.830002;70.949997;18200;63.854344;NA;NA;NA
"19";71.849998;71.849998;70.489998;71.029999;11500;63.926345;NA;NA;NA
"20";67.099998;70.330002;67.099998;69.480003;5200;62.531364;NA;NA;NA
"21";69.019997;69.019997;66.980003;67.099998;21500;60.389381;NA;NA;NA
"22";67.230003;67.800003;65.669998;65.669998;4200;59.102394;NA;NA;NA
"23";67.629997;68.43;67.040001;68.150002;11000;61.334374;NA;NA;NA
"24";68.019997;68.019997;67.209999;67.209999;14200;60.488381;NA;NA;NA
"25";68.559998;69.5;68.559998;68.940002;6900;62.045368;NA;NA;NA
"26";70.919998;70.919998;68.529999;69.5;3500;62.54936;NA;NA;NA
"27";70.709999;71.349998;70.620003;70.860001;2000;63.773348;NA;NA;NA
"28";70.230003;70.230003;68.080002;68.160004;10400;61.343376;NA;NA;NA
"29";68;68.559998;66.849998;68.169998;21000;61.352371;NA;NA;NA
"30";68.949997;68.949997;67.870003;68.480003;25300;61.631373;NA;NA;NA
"31";67.300003;67.940002;67.300003;67.639999;24700;60.875377;NA;NA;NA
"32";68.120003;68.120003;67.099998;67.099998;4000;60.389381;NA;NA;NA
"33";67.150002;67.849998;67.150002;67.800003;600;61.019379;NA;NA;NA
"34";68;70.839996;67.779999;70.050003;9400;63.044358;NA;NA;NA
"35";69.529999;69.540001;68.93;68.93;7000;62.036366;NA;NA;NA
"36";69.18;69.800003;69.18;69.800003;2400;62.81936;NA;NA;NA
"37";69.589996;69.589996;68.07;69.290001;2100;62.360363;NA;NA;NA
"38";69.239998;69.360001;68.800003;68.959999;1700;62.063365;NA;NA;NA
"39";67.82;67.949997;66.849998;66.860001;42900;60.173385;NA;NA;NA
"40";67.919998;67.919998;64.690002;65.860001;16000;59.273394;NA;NA;NA
"41";66.940002;66.940002;65.900002;66.32;19600;59.687389;NA;NA;NA
"42";66.599998;66.599998;64.760002;65.970001;2700;59.372394;NA;NA;NA
"43";66.400002;67.400002;66.400002;67.349998;2300;60.614379;NA;NA;NA
"44";67.900002;68.349998;67.900002;68.300003;2600;61.469374;NA;NA;NA
"45";69;69.150002;68.800003;69.150002;3000;62.234365;NA;NA;NA
"46";69.830002;70.150002;69.199997;69.650002;2200;62.68436;NA;NA;NA
"47";69.739998;71.309998;69.739998;71.309998;2700;64.178342;NA;NA;NA
"48";71.470001;71.470001;69.970001;70.099998;10700;63.089353;NA;NA;NA
"49";69.800003;71.07;69.800003;71.07;1100;63.962346;NA;NA;NA
"50";70.339996;70.580002;70.339996;70.580002;2400;63.521352;70.19740036;75.7060754818294;64.6887252381706
"51";71.150002;71.879997;71.150002;71.290001;5900;64.160345;70.20780044;75.7228477281722;64.6927531518278
"52";71.910004;72.32;71.860001;72.199997;7600;64.979333;70.21100036;75.7305705296316;64.6914301903684
"53";74.139999;75.779999;73.980003;75.199997;11300;67.679305;70.25440032;75.8971918445329;64.6116087954671
"54";74.120003;77.690002;74;76.980003;10000;69.281295;70.34740034;76.2758622130575;64.4189384669425
